ד' ביניש,דורית ביניש
א' רובינשטיין,אליקים רובינשטיין
ס' ג'ובראן,סלים גובראן
ע' פוגלמן,עוזי פוגלמן
י' עמית,יצחק עמית
א' גרוניס,אשר דן גרוניס
א' חיות,אסתר חיות
נ' הנדל,ניל הנדל
י' דנציגר,יורם דנציגר
צ' זילברטל,צבי זילברטל
א' שהם,אורי שהם
ע' ברון,ענת ברון
נ' סולברג,נעם סולברג
 כבוד הנשיא א' ברק,אהרן ברק
מ' נאור,מרים נאור
א' א' לוי,א א לוי
א' שטיין,אסתר שטיין
א' ריבלין,אליעזר ריבלין
שושנה ליבוביץ,שושנה ליבוביץ
המשנָה לנשיא מ' נאור,מרים נאור
מ' מזוז,מני מזוז
רון גולדשטיין,רון גולדשטיין
 כבוד הרשם בעז אוקון,בעז אוקון
 כבוד המשנה לנשיא ש' לוין,שלמה לוין
ד' דורנר,דליה דורנר
א' פרוקצ'יה,אילה פרוקציה
עודד שחם,עידית איצקוביץ-שחר
ע' ארבל,עדנה ארבל
ד' מינץ,דוד מינץ
ג' קרא,גורג קרא
שרית עבדיאן,שרית עבדיאן
י' טירקל,יעקב טירקל
ע' ר' זועבי,ע ר זועבי
ש' לוין,שלמה לוין
ח' מלצר,חנן מלצר
א' ברק,אהרן ברק
ע' גרוסקופף,ע גרוסקופף
יגאל מרזל,יגאל מרזל
ליאת בנמלך,ליאת בנמלך
גאולה לוין,גאולה לוין
י' אלרון,יוסף אלון
א' מצא,אליהו מצא
בעז אוקון,בעז אוקון
 כבוד השופטת א' פרוקצ'יה,אילה פרוקציה
ד' ברלינר,דבורה ברלינר
ת' אור,תיאודור אור
ד' חשין,דוד חשין
י' וילנר,יעל וילנר
 כבוד השופט א' מצא,אליהו מצא
כב' י' גולדברג,י גולדברג
י' עדיאל,יהונתן עדיאל
מ' חשין,מישאל חשין
ד ' ביניש,דורית ביניש
י' אנגלרד,יצחק אנגלרד
 כבוד השופטת ד' ביניש,דורית ביניש
(בדימ') ד' ביניש,דורית ביניש
 כבוד השופט מ' חשין,מישאל חשין
י' זמיר,יצחק זמיר
י' אלון,יוסף אלון
 כבוד הרשמת מ' אגמון,מיכל אגמון-גונן
דר להב,דר להב
(בדימ') א' ברק,אהרן ברק
 כבוד השופט י' טירקל,יעקב טירקל
המישנה לנשיא מ' חשין,מישאל חשין
ח' חיות,ח חיות
 כבוד השופט ת' אור,תיאודור אור
מדינת ישראל,מדינת ישראל
ליאור מטיס,ליאור מטיס
2. המנהל הכללי של משרד הבטחון,המנהל הכללי של משרד הבטחון
3. שר הבטחון,שר הבטחון
י' גולדברג,י גולדברג
(בדימ') א' פרוקצ'יה,אילה פרוקציה
כב' א' חיות,אסתר חיות
(בדימ') א' ריבלין,אליעזר ריבלין
 כבוד השופט י' זמיר,יצחק זמיר
מ' אילן,מ אילן
(בדימ') י' טירקל,יעקב טירקל
(בדימ') ת' אור,תיאודור אור
(בדימ') ד' דורנר,דליה דורנר
כב' א' פרוקצ'יה,אילה פרוקציה
 כבוד השופט י. קדמי,יעקב קדמי
א' גולדברג,אליעזר גולדברג
השוופט א' רובינשטיין,השוופט א רובינשטיין
 כבוד השופט א' גולדברג,אליעזר גולדברג
 כבוד השופטת ד' דורנר,דליה דורנר
 כבוד השופט י' קדמי,יעקב קדמי
 כבוד הרשם אמיר זולטי,אמיר זולטי
ד' דורנר (בדימ'),דליה דורנר
גלעד לובינסקי,גלעד לובינסקי
י' קדמי,יעקב קדמי
המישנה לנשיא (בדימ') מ' חשין,מישאל חשין
כבןד ס' ג'ובראן,כבןד ס גובראן
(בדימ') י' עדיאל,יהונתן עדיאל
 כב' הרשם בעז אוקון,בעז אוקון
חנן מלצר,חנן מלצר
ד' ברק ארז,ד ברק ארז
י' טירקל (בדימ'),יעקב טירקל
משנה לנשיא ת' אור,משנה ת אור
ח' אריאל,ח אריאל
 כבוד השופט ת. אור,תיאודור אור
י. קדמי,יעקב קדמי
כב' י. גולדברג,י גולדברג
 כבוד המשנה לנשיא ש. לוין,שלמה לוין
(בדימ') י' אנגלרד,יצחק אנגלרד
 כבוד השופט ח' אריאל,ח אריאל
המשנה-לנשיא מ' חשין,מישאל חשין
 כבוד השופט י' אנגלרד,יצחק אנגלרד
כב' ד' ברלינר,דבורה ברלינר
ע' אל רחמן זועבי,ע רחמן זועבי
 כבוד הרשם עודד שחם,עידית איצקוביץ-שחר
 כבוד השופט א' ריבלין,אליעזר ריבלין
א' לוי,אדמונד לוי
(בדימ') א' מצא,אליהו מצא
 כבוד השופט ש' לוין,שלמה לוין
כב' מ' נאור,מרים נאור
כב' נ' סולברג,נעם סולברג
 כבוד המשנה ש' לוין,שלמה לוין
(בדימ') א' גרוניס,אשר דן גרוניס
י. טירקל,יעקב טירקל
ד. ביניש,דורית ביניש
ע.ר. זועבי,ער זועבי
 כבוד הרשמת השופטת מיכל אגמון,מיכל אגמון-גונן
 כבוד השופטת מ' נאור,מרים נאור
 כב' השופטת מ' נאור,מרים נאור
ט' חיות,ט חיות
א' גודלברג,א גודלברג
 כבוד המישנה לנשיא ש' לוין,שלמה לוין
 כבוד המשנה-לנשיא ש' לוין,שלמה לוין
ד. דורנר,דליה דורנר
א. ריבלין,אליעזר ריבלין
י דנציגר,יורם דנציגר
 כבוד הנשיא א. ברק,אהרן ברק
ש. לוין,שלמה לוין
ת. אור,תיאודור אור
עב' י' אלרון,עב י אלרון
(בדימ') א' א' לוי,א א לוי
 כבוד המשנה-לנשיא ש' לוין כבוד השופט א' גולדברג,שלמה לוין
(בדימ') י' דנציגר,יורם דנציגר
י' אנגלרד (בדימ'),יצחק אנגלרד
ט. שטרסברג כהן,טובה שטרסברג-כהן
י. אנגלרד,יצחק אנגלרד
(בדימ') א' שהם,אורי שהם
ס' גובראן,סלים גובראן
 כבוד השופט א. גולדברג,אליעזר גולדברג
א. מצא,אליהו מצא
(בדימוס) ש' לוין,שלמה לוין
מ. חשין,מישאל חשין
(בדימ') ע' ארבל,עדנה ארבל
(בדימ') א' רובינשטיין,אליקים רובינשטיין
כב' א' א' לוי,א א לוי
(בדימ') ס' ג'ובראן,סלים גובראן
ח. אריאל,ח אריאל
ת' אור (בדימ'),תיאודור אור
 כבוד המשנָה לנשיא מ' נאור,מרים נאור
 המשנה לנשיא ש' לוין,שלמה לוין
(בדימ') מ' נאור,מרים נאור
מ. אילן,מ אילן
ג'ורג' קרא,גורג קרא
יוסף אלרון,יוסף אלון
(בדימ.) ש' לוין,שלמה לוין
הש/ופט י' עמית,יצחק עמית
א' ריבלין (בדימ'),אליעזר ריבלין
מבקשת פורמלית,מבקשת פורמלית
"ע""א 2313/98",עא 231398
(בדימוס) א' ריבלין,אליעזר ריבלין
א. גולדברג,אליעזר גולדברג
א' דנציגר,א דנציגר
(בדימ') צ' זילברטל,צבי זילברטל
ע. זועבי,ע זועבי
כב' א' שהם,אורי שהם
א' אלרון,אספרנצה אלון
